id,created_at,incident_id,ai_priority,assigned_department,nearest_department_location,estimated_fix_time,suggested_solution,traffic_guidance,map_update_json,risk_level,analyzed_at,analysis_status,reviewed_by
16,9/21/2025 1:36,16,Critical,DBKL,DBKL Depot,1 day,"Evacuate area, deploy multiple fire units",No impact,"{'incident_location': {'lat': 3.0826, 'lng': 101.5857}, 'road_closed': True}",Critical,9/21/2025 1:38,Completed,Supervisor_Jane
17,9/21/2025 3:09,17,Low,MPSJ,MPSJ Depot,2h,Send maintenance team to replace bulb,Use caution,"{'incident_location': {'lat': 3.0943, 'lng': 101.6444}, 'road_closed': False}",Low,9/21/2025 3:11,Pending,AI
18,9/21/2025 21:09,18,Medium,PDRM,PDRM Depot,1 day,Clear debris and reopen road,Use caution,"{'incident_location': {'lat': 3.0826, 'lng': 101.5857}, 'road_closed': False}",Low,9/21/2025 21:11,Pending,Supervisor_Jane
19,9/21/2025 3:14,19,Low,DBKL,DBKL Depot,1 day,Inspect wiring and fix streetlight,Redirect traffic,"{'incident_location': {'lat': 2.9224, 'lng': 101.6565}, 'road_closed': False}",Low,9/21/2025 3:16,Completed,Supervisor_Ahmad
20,9/22/2025 5:38,20,Critical,JKR,JKR Depot,2h,Close road and set up flood barriers,Redirect traffic,"{'incident_location': {'lat': 3.1073, 'lng': 101.6356}, 'road_closed': True}",Critical,9/22/2025 5:40,In Review,Supervisor_Jane
21,9/22/2025 9:27,21,Low,JKR,JKR Depot,2h,Dispatch cleaning crew,Redirect traffic,"{'incident_location': {'lat': 2.9189, 'lng': 101.6492}, 'road_closed': False}",Low,9/22/2025 9:29,Completed,Supervisor_Jane
22,9/21/2025 8:25,22,Medium,DBKL,DBKL Depot,1 day,"Investigate obstruction, remove blockage",Use caution,"{'incident_location': {'lat': 3.078, 'lng': 101.5412}, 'road_closed': False}",Low,9/21/2025 8:27,Completed,AI
23,9/20/2025 20:41,23,Medium,JKR,JKR Depot,2h,"Patch pothole with asphalt, deploy crew",Redirect traffic,"{'incident_location': {'lat': 2.9224, 'lng': 101.6565}, 'road_closed': False}",Low,9/20/2025 20:43,In Review,Supervisor_Jane
24,9/20/2025 12:04,24,Low,MPSJ,MPSJ Depot,2h,Dispatch cleaning crew,Partial closure,"{'incident_location': {'lat': 3.158, 'lng': 101.711}, 'road_closed': False}",Low,9/20/2025 12:06,Completed,Supervisor_Jane
25,9/20/2025 18:49,25,Medium,MPSJ,MPSJ Depot,1 day,"Patch pothole with asphalt, deploy crew",Redirect traffic,"{'incident_location': {'lat': 3.078, 'lng': 101.5412}, 'road_closed': False}",Low,9/20/2025 18:51,In Review,Supervisor_Ahmad
26,9/20/2025 12:25,26,Medium,DBKL,DBKL Depot,5h,"Temporary fill with gravel, schedule asphalt crew",Partial closure,"{'incident_location': {'lat': 3.0826, 'lng': 101.5857}, 'road_closed': False}",Low,9/20/2025 12:27,Pending,AI
27,9/22/2025 4:32,27,Critical,MBSA,MBSA Depot,2h,Deploy pumps and sandbags,Redirect traffic,"{'incident_location': {'lat': 3.1073, 'lng': 101.6356}, 'road_closed': True}",Critical,9/22/2025 4:34,In Review,Supervisor_Jane
28,9/22/2025 3:28,28,High,Bomba,Bomba Depot,8h,"Tow damaged vehicles, clear debris",No impact,"{'incident_location': {'lat': 3.0826, 'lng': 101.5857}, 'road_closed': True}",High,9/22/2025 3:30,In Review,Supervisor_Jane
29,9/22/2025 6:19,29,Low,DBKL,DBKL Depot,5h,Send maintenance team to replace bulb,Redirect traffic,"{'incident_location': {'lat': 3.0826, 'lng': 101.5857}, 'road_closed': False}",Low,9/22/2025 6:21,In Review,Supervisor_Jane
30,9/20/2025 12:27,30,Low,DBKL,DBKL Depot,8h,Inspect wiring and fix streetlight,Partial closure,"{'incident_location': {'lat': 3.158, 'lng': 101.711}, 'road_closed': False}",Low,9/20/2025 12:29,Completed,AI
